"Name","Live Bytes","Live Objects"
"sun.nio.ch.SelectionKeyImpl","196,520 B (0.1%)","4,913 (0.1%)"
"java.nio.channels.SelectionKey[]","157,216 B (0.1%)","4,913 (0.1%)"
"java.nio.channels.spi.AbstractInterruptibleChannel$1","78,608 B (0%)","4,913 (0.1%)"
"sun.nio.ch.WindowsSelectorImpl$MapEntry","157,184 B (0.1%)","4,912 (0.1%)"
"sun.nio.ch.SocketChannelImpl","549,136 B (0.2%)","4,903 (0.1%)"
"java.lang.management.ThreadInfo","470,496 B (0.2%)","4,901 (0.1%)"
"sun.nio.ch.SocketAdaptor","195,960 B (0.1%)","4,899 (0.1%)"
"com.tvd12.ezyfox.codec.MsgPackAesByteToObjectDecoder","117,480 B (0.1%)","4,895 (0.1%)"
"com.tvd12.ezyfox.codec.EzySimpleMessageDataDecoder","156,640 B (0.1%)","4,895 (0.1%)"
"com.tvd12.ezyfoxserver.nio.handler.EzySimpleNioDataHandler","430,760 B (0.2%)","4,895 (0.1%)"
"com.tvd12.ezyfox.codec.EzyDefaultDecodeHandlers$ReadMessageHeader","117,480 B (0.1%)","4,895 (0.1%)"
"com.tvd12.ezyfoxserver.nio.handler.EzySimpleNioHandlerGroup","352,440 B (0.2%)","4,895 (0.1%)"
"com.tvd12.ezyfox.codec.EzyDefaultDecodeHandlers$ReadMessageContent","117,480 B (0.1%)","4,895 (0.1%)"
"com.tvd12.ezyfoxserver.handler.EzyAbstractDataHandler$$Lambda$236.61237496","78,320 B (0%)","4,895 (0.1%)"
"com.tvd12.ezyfox.codec.EzyDefaultDecodeHandlers","117,480 B (0.1%)","4,895 (0.1%)"
"com.tvd12.ezyfoxserver.nio.handler.EzySimpleNioHandlerGroup$$Lambda$245.1683968551","78,320 B (0%)","4,895 (0.1%)"
"com.tvd12.ezyfox.codec.EzyByteBufferMessageReader","156,640 B (0.1%)","4,895 (0.1%)"
"com.tvd12.ezyfoxserver.socket.EzyNonBlockingPacketQueue","117,480 B (0.1%)","4,895 (0.1%)"
"com.tvd12.ezyfoxserver.nio.socket.EzyNioSocketChannel","117,480 B (0.1%)","4,895 (0.1%)"
"com.tvd12.ezyfoxserver.nio.entity.EzySimpleSession","1,096,480 B (0.5%)","4,895 (0.1%)"
"com.tvd12.ezyfox.codec.EzyDefaultDecodeHandlers$ReadMessageSize","117,480 B (0.1%)","4,895 (0.1%)"
"com.tvd12.ezyfoxserver.handler.EzySimpleRequestFactory","78,320 B (0%)","4,895 (0.1%)"
"com.tvd12.ezyfox.codec.EzyDefaultDecodeHandlers$PrepareMessage","117,480 B (0.1%)","4,895 (0.1%)"
"com.tvd12.ezyfoxserver.entity.EzySimpleUser","352,152 B (0.2%)","4,891 (0.1%)"
"java.lang.ref.WeakReference","152,832 B (0.1%)","4,776 (0.1%)"
"org.slf4j.helpers.FormattingTuple","114,432 B (0.1%)","4,768 (0.1%)"
"java.lang.StackTraceElement[]","101,136 B (0%)","4,284 (0.1%)"
"java.lang.StackTraceElement","130,368 B (0.1%)","4,074 (0.1%)"
"java.lang.management.LockInfo","96,912 B (0%)","4,038 (0.1%)"
"java.lang.Class$ReflectionData","220,248 B (0.1%)","3,933 (0.1%)"
"com.tvd12.ezyfox.bean.impl.EzyBeanKey","85,416 B (0%)","3,559 (0.1%)"
"java.lang.reflect.Constructor","239,280 B (0.1%)","2,991 (0.1%)"
"javassist.bytecode.Utf8Info","67,728 B (0%)","2,822 (0.1%)"
"sun.nio.ch.SocketOptionRegistry$RegistryKey","61,032 B (0%)","2,543 (0%)"
"java.util.HashMap$EntrySet","40,656 B (0%)","2,541 (0%)"
"boolean[]","688,640 B (0.3%)","2,539 (0%)"
"java.util.regex.Pattern$Curly","80,992 B (0%)","2,531 (0%)"
"java.security.MessageDigest$Delegate","80,992 B (0%)","2,531 (0%)"
"java.util.regex.Pattern$BitClass","60,696 B (0%)","2,529 (0%)"
"java.net.InetSocketAddress[]","60,696 B (0%)","2,529 (0%)"
"java.util.UUID","80,864 B (0%)","2,527 (0%)"
"com.tvd12.ezyfox.codec.EzyDefaultDecodeHandlers$Builder","60,648 B (0%)","2,527 (0%)"
"com.tvd12.ezyfoxserver.nio.socket.EzyNioSocketChannel$$Lambda$235.2143452141","40,432 B (0%)","2,527 (0%)"
"sun.security.provider.SHA2$SHA256","161,728 B (0.1%)","2,527 (0%)"
"sun.security.jca.GetInstance$Instance","60,648 B (0%)","2,527 (0%)"
"com.tvd12.ezyfoxserver.nio.handler.EzySimpleNioHandlerGroup$Builder","141,512 B (0.1%)","2,527 (0%)"
"com.tvd12.ezyfoxserver.nio.socket.EzyNioSocketChannel$$Lambda$233.2072831184","40,432 B (0%)","2,527 (0%)"
"java.util.regex.Pattern","181,872 B (0.1%)","2,526 (0%)"
"com.tvd12.ezyfoxserver.event.EzySimpleHandshakeEvent","121,152 B (0.1%)","2,524 (0%)"
"com.tvd12.ezyfoxserver.response.EzyAccessAppParams","60,576 B (0%)","2,524 (0%)"
"com.tvd12.ezyfoxserver.event.EzySimpleUserAddedEvent","60,576 B (0%)","2,524 (0%)"
"java.util.regex.Pattern$Dollar","60,576 B (0%)","2,524 (0%)"
"com.tvd12.ezyfoxserver.event.EzySimpleUserLoginEvent","121,152 B (0.1%)","2,524 (0%)"
"java.util.regex.Pattern$Begin","40,384 B (0%)","2,524 (0%)"
"com.tvd12.ezyfoxserver.request.EzySimpleLoginParams","80,768 B (0%)","2,524 (0%)"
"java.util.regex.Pattern$GroupHead[]","141,344 B (0.1%)","2,524 (0%)"
"com.tvd12.ezyfoxserver.request.EzySimpleHandshakeRequest","60,576 B (0%)","2,524 (0%)"
"com.tvd12.ezyfoxserver.response.EzyLoginResponse","60,576 B (0%)","2,524 (0%)"
"com.tvd12.ezyfoxserver.request.EzySimpleAccessAppRequest","60,576 B (0%)","2,524 (0%)"
"com.tvd12.ezyfoxserver.response.EzyAccessAppResponse","60,576 B (0%)","2,524 (0%)"
"com.tvd12.ezyfoxserver.response.EzyHandShakeResponse","60,576 B (0%)","2,524 (0%)"
"com.tvd12.ezyfoxserver.response.EzyHandShakeParams","100,960 B (0%)","2,524 (0%)"
"com.tvd12.ezyfoxserver.event.EzySimpleUserAccessedAppEvent","40,384 B (0%)","2,524 (0%)"
"com.tvd12.ezyfoxserver.request.EzySimpleLoginRequest","60,576 B (0%)","2,524 (0%)"
"com.tvd12.ezyfoxserver.response.EzyLoginParams","100,960 B (0%)","2,524 (0%)"
"com.tvd12.ezyfoxserver.request.EzySimpleAccessAppParams","60,576 B (0%)","2,524 (0%)"
"java.util.HashMap$EntryIterator","100,960 B (0%)","2,524 (0%)"
"com.tvd12.ezyfoxserver.event.EzySimpleUserAccessAppEvent","60,576 B (0%)","2,524 (0%)"
"com.tvd12.ezyfoxserver.request.EzySimpleHandShakeParams","100,960 B (0%)","2,524 (0%)"
"com.tvd12.ezyfoxserver.controller.EzyLoginProcessor","80,768 B (0%)","2,524 (0%)"
"java.util.regex.Matcher","161,536 B (0.1%)","2,524 (0%)"
"java.io.ObjectStreamClass","219,128 B (0.1%)","2,107 (0%)"
"java.util.Vector","55,872 B (0%)","1,746 (0%)"
"java.lang.reflect.Method","136,312 B (0.1%)","1,549 (0%)"
"java.io.DataOutputStream","41,472 B (0%)","1,296 (0%)"
"java.util.LinkedHashMap$Entry","50,240 B (0%)","1,256 (0%)"
"javax.management.ObjectName$Property[]","40,320 B (0%)","1,179 (0%)"
"java.util.Hashtable$Entry","33,888 B (0%)","1,059 (0%)"
"java.io.ObjectStreamClass$FieldReflectorKey","42,080 B (0%)","1,052 (0%)"
"java.util.HashSet","16,048 B (0%)","1,003 (0%)"
"java.security.ProtectionDomain$Key","15,984 B (0%)","999 (0%)"
"java.security.Principal[]","15,984 B (0%)","999 (0%)"
"java.security.ProtectionDomain","39,960 B (0%)","999 (0%)"
"java.lang.invoke.MemberName","52,920 B (0%)","945 (0%)"
"java.security.CodeSource","28,992 B (0%)","906 (0%)"
"java.util.Hashtable$Entry[]","64,232 B (0%)","904 (0%)"
"java.rmi.server.UID","28,736 B (0%)","898 (0%)"
"java.io.ObjectOutputStream$HandleTable","35,760 B (0%)","894 (0%)"
"sun.rmi.transport.Transport$$Lambda$409.425191909","14,256 B (0%)","891 (0%)"
"java.util.Hashtable","42,336 B (0%)","882 (0%)"
"javassist.bytecode.NameAndTypeInfo","16,560 B (0%)","690 (0%)"
"java.io.ObjectStreamClass$ClassDataSlot","15,336 B (0%)","639 (0%)"
"java.io.ObjectInputStream$HandleTable$HandleList[]","39,056 B (0%)","622 (0%)"
"java.lang.invoke.MethodType$ConcurrentWeakInternSet$WeakEntry","18,592 B (0%)","581 (0%)"
"javassist.bytecode.MethodInfo","22,360 B (0%)","559 (0%)"
"java.lang.invoke.MethodType","22,320 B (0%)","558 (0%)"
"java.io.ObjectStreamClass$ClassDataSlot[]","13,416 B (0%)","558 (0%)"
"javax.management.ObjectName$Property","13,176 B (0%)","549 (0%)"
"java.lang.invoke.DirectMethodHandle","17,408 B (0%)","544 (0%)"
"java.io.DataInputStream","17,152 B (0%)","536 (0%)"
"java.util.HashMap$ValueIterator","21,400 B (0%)","535 (0%)"
